endpoint-a;endpoint-b;connection_text;strokeWidth;strokeColor;dashed;fontStyle;fontSize
SWAC-RJ31-01;SWAC-RJ41-01;Metro Ring;;;;;
SWAC-RJ41-01;SWAC-RJ59-01;Metro Ring;;;;;
SWAC-RJ59-01;SWAC-RJ63-01;Metro Ring;;;;;
SWAC-RJ63-01;SWAC-RJ27-01;Metro Ring;;;;;
SWAC-RJ27-01;SWAC-RJ60-01;Metro Ring;;;;;
SWAC-RJ60-01;SWAC-RJ74-01;Metro Ring;;;;;
SWAC-RJ74-01;SWAC-RJ79-01;Metro Ring;;;;;
SWAC-RJ79-01;SWAC-RJ85-01;Metro Ring;;;;;
SWAC-RJ85-01;SWAC-RJ82-01;Metro Ring;;;;;
SWAC-RJ82-01;SWAC-RJ35-01;Metro Ring;;;;;
SWAC-RJ35-01;SWAC-RJ72-01;Metro Ring;;;;;
SWAC-RJ72-01;SWAC-RJ46-01;Metro Ring;;;;;
SWAC-RJ46-01;SWAC-RJ31-01;Metro Ring;;;;;
SWAC-RJ31-01;RTED-RJ03-01;Metro to Edge;;;;;
SWAC-RJ46-01;RTED-RJ03-02;Metro to Edge;;;;;
SWAC-MG80-01;SWAC-MG88-01;Metro Ring;;;;;
SWAC-MG88-01;SWAC-MG98-01;Metro Ring;;;;;
SWAC-MG98-01;SWAC-MG69-01;Metro Ring;;;;;
SWAC-MG69-01;SWAC-MG62-01;Metro Ring;;;;;
SWAC-MG62-01;SWAC-MG80-01;Metro Ring;;;;;
SWAC-MG80-01;RTED-RJ03-01;Metro to Edge;;;;;
SWAC-MG62-01;RTED-RJ03-02;Metro to Edge;;;;;
SWAC-SC01-01;SWAC-SC20-01;Metro Ring;;;;;
SWAC-SC20-01;SWAC-SC01-01;Metro Ring;;;;;
SWAC-SC01-01;RTED-SC01-01;Metro to Edge;;;;;
SWAC-SC20-01;RTED-SC01-02;Metro to Edge;;;;;
SWAC-RS26-01;SWAC-RS08-01;Metro Ring;;;;;
SWAC-RS08-01;SWAC-RS02-01;Metro Ring;;;;;
SWAC-RS02-01;SWAC-RS24-01;Metro Ring;;;;;
SWAC-RS24-01;SWAC-RS22-01;Metro Ring;;;;;
SWAC-RS22-01;SWAC-RS21-01;Metro Ring;;;;;
SWAC-RS21-01;SWAC-RS26-01;Metro Ring;;;;;
SWAC-RS26-01;RTED-RS02-01;Metro to Edge;;;;;
SWAC-RS21-01;RTED-RS02-02;Metro to Edge;;;;;
SWAC-PR03-01;RTED-MS02-01;Metro to Edge;;;;;
SWAC-PR03-01;RTED-MS02-02;Metro to Edge;;;;;
SWAC-SC17-01;SWAC-SC28-01;Metro Ring;;;;;
SWAC-SC28-01;SWAC-SC04-01;Metro Ring;;;;;
SWAC-SC04-01;SWAC-SC17-01;Metro Ring;;;;;
SWAC-SC17-01;RTED-SC01-01;Metro to Edge;;;;;
SWAC-SC04-01;RTED-SC01-02;Metro to Edge;;;;;
SWAC-PR12-01;SWAC-PR05-01;Metro Ring;;;;;
SWAC-PR05-01;SWAC-PR10-01;Metro Ring;;;;;
SWAC-PR10-01;SWAC-PR12-01;Metro Ring;;;;;
SWAC-PR12-01;RTED-MS02-01;Metro to Edge;;;;;
SWAC-PR10-01;RTED-MS02-02;Metro to Edge;;;;;
SWAC-PR15-01;SWAC-PR06-01;Metro Ring;;;;;
SWAC-PR06-01;SWAC-PR07-01;Metro Ring;;;;;
SWAC-PR07-01;SWAC-PR25-01;Metro Ring;;;;;
SWAC-PR25-01;SWAC-PR15-01;Metro Ring;;;;;
SWAC-PR15-01;RTED-SC01-01;Metro to Edge;;;;;
SWAC-PR25-01;RTED-SC01-02;Metro to Edge;;;;;
SWAC-RS09-01;SWAC-RS23-01;Metro Ring;;;;;
SWAC-RS23-01;SWAC-RS09-01;Metro Ring;;;;;
SWAC-RS09-01;RTED-RS02-01;Metro to Edge;;;;;
SWAC-RS23-01;RTED-RS02-02;Metro to Edge;;;;;
SWAC-RS11-01;RTED-RS02-01;Metro to Edge;;;;;
SWAC-RS11-01;RTED-RS02-02;Metro to Edge;;;;;
SWAC-SC14-01;SWAC-SC19-01;Metro Ring;;;;;
SWAC-SC19-01;SWAC-SC13-01;Metro Ring;;;;;
SWAC-SC13-01;SWAC-SC18-01;Metro Ring;;;;;
SWAC-SC18-01;SWAC-SC16-01;Metro Ring;;;;;
SWAC-SC16-01;SWAC-SC27-01;Metro Ring;;;;;
SWAC-SC27-01;SWAC-SC14-01;Metro Ring;;;;;
SWAC-SC14-01;RTED-SC01-01;Metro to Edge;;;;;
SWAC-SC27-01;RTED-SC01-02;Metro to Edge;;;;;
