siteid;Location;GeographicRegion;Latitude;Longitude
RSCANOAS0AC001;Canoas;Sul;29.55.12.73S;51.10.47.24W
PRLONDRINA0AC003;Londrina;Sul;23.18.36.89S;51.9.37.80W
SCFLORIANOPO0AC001;Florianopolis;Sul;27.35.41.26S;48.32.53.03W
SCFLORIANOPO0AC002;Florianopolis;Sul;27.35.43.23S;48.32.54.76W
PRCURITIBA0AC003;Curitiba;Sul;25.25.13.41S;49.16.13.24W
SCFLORIANOPO0AC003;Florianopolis;Sul;27.35.23.00S;48.32.58.70W
SCBLUMENAU0AC002;Blumenau;Sul;26.55.13.55S;49.4.10.71W
SCFLORIANOPO0AC004;Florianopolis;Sul;27.35.25.68S;48.33.0.27W
SCFLORIANOPO0AC005;Florianopolis;Sul;27.35.40.04S;48.32.55.39W
SCJOINVILLE0AC002;Joinville;Sul;26.18.0.48S;48.50.59.28W
RSPORTOALEGR0AC003;Porto Alegre;Sul;30.2.3.13S;51.13.5.11W
RSPORTOALEGR0AC004;Porto Alegre;Sul;30.1.47.29S;51.13.46.83W
RSCAXIASDOSU0AC002;Caxias do Sul;Sul;29.10.10.34S;51.10.48.13W
RSPORTOALEGR0AC005;Porto Alegre;Sul;30.1.49.73S;51.13.49.19W
PRCURITIBA0AC004;Curitiba;Sul;25.25.11.15S;49.16.10.57W
RSPORTOALEGR0AC006;Porto Alegre;Sul;30.2.3.33S;51.13.5.30W
SCFLORIANOPO0AC006;Florianopolis;Sul;27.35.40.76S;48.32.51.87W
SCBLUMENAU0AC003;Blumenau;Sul;26.55.10.69S;49.4.13.35W
