siteid;Location;GeographicRegion;Latitude;Longitude
PRLONDRINA0AC001;Londrina;Sul;23.18.35.74S;51.9.35.50W
SCFLORIANOPO0AC003;Florianopolis;Sul;27.35.23.18S;48.33.1.74W
PRCURITIBA0AC002;Curitiba;Sul;25.25.10.24S;49.16.12.79W
RSCAXIASDOSU0AC001;Caxias do Sul;Sul;29.10.13.78S;51.10.47.29W
RSCAXIASDOSU0AC002;Caxias do Sul;Sul;29.10.12.09S;51.10.49.06W
SCFLORIANOPO0AC004;Florianopolis;Sul;27.35.42.80S;48.32.53.41W
PRLONDRINA0AC002;Londrina;Sul;23.18.34.87S;51.9.37.63W
RSCANOAS0AC002;Canoas;Sul;29.55.12.25S;51.10.47.01W
RSCANOAS0AC003;Canoas;Sul;29.55.13.10S;51.10.46.89W
PRCURITIBA0AC003;Curitiba;Sul;25.25.45.45S;49.16.0.88W
SCBLUMENAU0AC003;Blumenau;Sul;26.55.10.34S;49.4.11.33W
PRCURITIBA0AC004;Curitiba;Sul;25.25.42.97S;49.16.1.14W
SCBLUMENAU0AC004;Blumenau;Sul;26.55.11.98S;49.4.11.35W
RSPORTOALEGR0AC002;Porto Alegre;Sul;30.2.3.35S;51.13.3.12W
RSCAXIASDOSU0AC003;Caxias do Sul;Sul;29.10.11.85S;51.10.46.76W
RSCAXIASDOSU0AC004;Caxias do Sul;Sul;29.10.13.01S;51.10.46.43W
SCFLORIANOPO0AC005;Florianopolis;Sul;27.35.42.59S;48.32.53.47W
RSCAXIASDOSU0AC005;Caxias do Sul;Sul;29.10.11.60S;51.10.48.78W
